France
No.,Pos.,Player,Date of birth (age),Caps,Club
5,DF,Sebastien Bassong,9 July 1986 (aged 23),3,Tottenham Hotspur
6,MF,Alex Song,9 September 1987 (aged 22),20,Arsenal
7,MF,Landry N'Guemo,28 November 1985 (aged 24),17,Celtic
8,DF,Geremi,20 December 1978 (aged 31),109,Ankaragücü
9,FW,Samuel Eto'o,10 March 1981 (aged 29),92,Internazionale
10,MF,Achille Emana,5 June 1982 (aged 28),32,Real Betis
11,MF,Jean Makoun,29 May 1983 (aged 27),46,Lyon
12,DF,Gaetan Bong,25 April 1988 (aged 22),0,Valenciennes
13,FW,Eric Maxim Choupo-Moting,23 March 1989 (aged 21),0,1. FC Nürnberg
14,DF,Aurelien Chedjou,20 June 1985 (aged 24),8,Lille
15,FW,Pierre Webo,20 January 1982 (aged 28),39,Mallorca
16,GK,Souleymanou Hamidou,22 November 1973 (aged 36),40,Kayserispor
17,FW,Mohammadou Idrissou,8 March 1980 (aged 30),28,SC Freiburg
18,MF,Eyong Enoh,23 March 1986 (aged 24),12,Ajax
19,DF,Stephane Mbia,20 May 1986 (aged 24),29,Marseille
20,MF,Georges Mandjeck,9 December 1988 (aged 21),4,1. FC Kaiserslautern
21,MF,Joel Matip,8 August 1991 (aged 18),1,Schalke 04
22,GK,Guy N'dy Assembe,28 February 1986 (aged 24),0,Valenciennes
23,FW,Vincent Aboubakar,22 January 1992 (aged 18),0,Cotonsport Garoua
Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Thomas Sørensen,12 June 1976 (aged 33),86,Stoke City
2,MF,Christian Poulsen,28 February 1980 (aged 30),74,Juventus
3,DF,Simon Kjær,26 March 1989 (aged 21),9,Palermo
4,DF,Daniel Agger,12 December 1984 (aged 25),32,Liverpool
5,DF,William Kvist,24 February 1985 (aged 25),14,Copenhagen
6,DF,Lars Jacobsen,20 September 1979 (aged 30),31,Blackburn Rovers
7,MF,Daniel Jensen,25 June 1979 (aged 30),49,Werder Bremen
8,MF,Jesper Grønkjær,12 August 1977 (aged 32),78,Copenhagen
9,FW,Jon Dahl Tomasson,29 August 1976 (aged 33),110,Feyenoord
10,MF,Martin Jørgensen,6 October 1975 (aged 34),96,AGF
11,FW,Nicklas Bendtner,16 January 1988 (aged 22),32,Arsenal
12,MF,Thomas Kahlenberg,20 March 1983 (aged 27),31,VfL Wolfsburg
13,DF,Per Krøldrup,31 July 1979 (aged 30),30,Fiorentina
14,MF,Jakob Poulsen,7 July 1983 (aged 26),13,AGF
15,DF,Simon Poulsen,7 October 1984 (aged 25),5,AZ
16,GK,Stephan Andersen,26 November 1981 (aged 28),7,Brøndby
17,MF,Mikkel Beckmann,24 October 1983 (aged 26),5,Randers
18,FW,Søren Larsen,6 September 1981 (aged 28),19,MSV Duisburg
19,MF,Dennis Rommedahl,22 July 1978 (aged 31),96,Ajax
20,MF,Thomas Enevoldsen,27 July 1987 (aged 22),6,Groningen
21,MF,Christian Eriksen,14 February 1992 (aged 18),3,Ajax
22,GK,Jesper Christiansen,24 April 1978 (aged 32),11,Copenhagen
23,DF,Patrick Mtiliga,28 January 1981 (aged 29),4,Malaga
Japan
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Seigo Narazaki,15 April 1976 (aged 34),76,Nagoya Grampus
2,MF,Yuki Abe,6 September 1981 (aged 28),45,Urawa Red Diamonds
3,DF,Yūichi Komano,25 July 1981 (aged 28),53,Júbilo Iwata
4,DF,Marcus Tulio Tanaka,24 April 1981 (aged 29),39,Nagoya Grampus
5,DF,Yuto Nagatomo,12 September 1986 (aged 23),26,FC Tokyo
6,DF,Atsuto Uchida,27 March 1988 (aged 22),31,Kashima Antlers
7,MF,Yasuhito Endō,28 January 1980 (aged 30),94,Gamba Osaka
8,FW,Daisuke Matsui,11 May 1981 (aged 29),23,Grenoble
9,FW,Shinji Okazaki,16 April 1986 (aged 24),28,Shimizu S-Pulse
10,MF,Shunsuke Nakamura,24 June 1978 (aged 31),97,Yokohama F. Marinos
11,FW,Keiji Tamada,11 April 1980 (aged 30),70,Nagoya Grampus
12,FW,Kisho Yano,5 April 1984 (aged 26),18,Albirex Niigata
13,DF,Daiki Iwamasa,30 January 1982 (aged 28),2,Kashima Antlers
14,MF,Kengo Nakamura,31 October 1980 (aged 29),47,Kawasaki Frontale
15,DF,Yasuyuki Konno,25 January 1983 (aged 27),37,FC Tokyo
16,FW,Yoshito Ōkubo,9 June 1982 (aged 28),49,Vissel Kobe
17,MF,Makoto Hasebe,18 January 1984 (aged 26),31,VfL Wolfsburg
18,MF,Keisuke Honda,13 June 1986 (aged 23),15,CSKA Moscow
19,FW,Takayuki Morimoto,7 May 1988 (aged 22),6,Catania
20,MF,Junichi Inamoto,18 September 1979 (aged 30),80,Kawasaki Frontale
21,GK,Eiji Kawashima,20 March 1983 (aged 27),10,Kawasaki Frontale
22,DF,Yuji Nakazawa,25 February 1978 (aged 32),105,Yokohama F. Marinos
23,GK,Yoshikatsu Kawaguchi,15 August 1975 (aged 34),116,Júbilo Iwata
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Maarten Stekelenburg,22 September 1982 (aged 27),25,Ajax
2,DF,Gregory van der Wiel,3 February 1988 (aged 22),8,Ajax
3,DF,John Heitinga,15 November 1983 (aged 26),51,Everton
4,DF,Joris Mathijsen,5 April 1980 (aged 30),53,Hamburger SV
5,DF,Giovanni van Bronckhorst,5 February 1975 (aged 35),97,Feyenoord
6,MF,Mark van Bommel,22 April 1977 (aged 33),54,Bayern Munich
7,FW,Dirk Kuyt,22 July 1980 (aged 29),60,Liverpool
8,MF,Nigel de Jong,30 November 1984 (aged 25),40,Manchester City
9,FW,Robin van Persie,6 August 1983 (aged 26),41,Arsenal
10,MF,Wesley Sneijder,9 June 1984 (aged 26),59,Internazionale
11,FW,Arjen Robben,23 January 1984 (aged 26),46,Bayern Munich
12,DF,Khalid Boulahrouz,28 December 1981 (aged 28),28,VfB Stuttgart
13,DF,Andre Ooijer,11 July 1974 (aged 35),53,PSV Eindhoven
14,MF,Demy de Zeeuw,26 May 1983 (aged 27),23,Ajax
15,DF,Edson Braafheid,8 April 1983 (aged 27),5,Celtic
16,GK,Michel Vorm,20 October 1983 (aged 26),3,Utrecht
17,FW,Eljero Elia,13 February 1987 (aged 23),5,Hamburger SV
18,MF,Stijn Schaars,11 January 1984 (aged 26),11,AZ
19,FW,Ryan Babel,19 December 1986 (aged 23),38,Liverpool
20,MF,Ibrahim Afellay,2 April 1986 (aged 24),20,PSV Eindhoven
21,FW,Klaas-Jan Huntelaar,12 August 1983 (aged 26),30,Milan
22,GK,Sander Boschker,20 October 1970 (aged 39),1[7],Twente
23,MF,Rafael van der Vaart,11 February 1983 (aged 27),75,Real Madrid
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gianluigi Buffon,28 January 1978 (aged 32),101,Juventus
2,DF,Christian Maggio,11 February 1982 (aged 28),5,Napoli
3,DF,Domenico Criscito,30 December 1986 (aged 23),7,Genoa
4,DF,Giorgio Chiellini,14 August 1984 (aged 25),29,Juventus
5,DF,Fabio Cannavaro,13 September 1973 (aged 36),133,Juventus
6,MF,Daniele De Rossi,24 July 1983 (aged 26),54,Roma
7,MF,Simone Pepe,30 August 1983 (aged 26),15,Udinese
8,MF,Gennaro Gattuso,9 January 1978 (aged 32),72,Milan
9,FW,Vincenzo Iaquinta,21 November 1979 (aged 30),37,Juventus
10,FW,Antonio Di Natale,13 October 1977 (aged 32),33,Udinese
11,FW,Alberto Gilardino,5 July 1982 (aged 27),41,Fiorentina
12,GK,Federico Marchetti,7 February 1983 (aged 27),5,Cagliari
13,DF,Salvatore Bocchetti,30 November 1986 (aged 23),5,Genoa
14,GK,Morgan De Sanctis,26 March 1977 (aged 33),3,Napoli
15,MF,Claudio Marchisio,19 January 1986 (aged 24),4,Juventus
16,MF,Mauro Camoranesi,4 October 1976 (aged 33),53,Juventus
17,MF,Angelo Palombo,25 September 1981 (aged 28),17,Sampdoria
18,FW,Fabio Quagliarella,31 January 1983 (aged 27),20,Napoli
19,DF,Gianluca Zambrotta,19 February 1977 (aged 33),94,Milan
20,FW,Giampaolo Pazzini,2 August 1984 (aged 25),8,Sampdoria
21,MF,Andrea Pirlo,19 May 1979 (aged 31),66,Milan
22,MF,Riccardo Montolivo,18 January 1985 (aged 25),13,Fiorentina
23,DF,Leonardo Bonucci,1 May 1987 (aged 23),2,Bari
New Zealand
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mark Paston,13 December 1976 (aged 33),23,Wellington Phoenix
2,DF,Ben Sigmund,3 February 1981 (aged 29),14,Wellington Phoenix
3,DF,Tony Lochhead,12 January 1982 (aged 28),30,Wellington Phoenix
4,DF,Winston Reid,3 July 1988 (aged 21),3,Midtjylland
5,DF,Ivan Vicelich,3 September 1976 (aged 33),66,Auckland City
6,DF,Ryan Nelsen,18 October 1977 (aged 32),41,Blackburn Rovers
7,MF,Simon Elliott,10 June 1974 (aged 36),63,Unattached
8,MF,Tim Brown,6 March 1981 (aged 29),25,Wellington Phoenix
9,FW,Shane Smeltz,29 September 1981 (aged 28),30,Gold Coast United
10,FW,Chris Killen,8 October 1981 (aged 28),31,Middlesbrough
11,MF,Leo Bertos,20 December 1981 (aged 28),34,Wellington Phoenix
12,GK,Glen Moss,19 January 1983 (aged 27),15,Melbourne Victory
13,MF,Andy Barron,24 December 1980 (aged 29),11,Team Wellington
14,FW,Rory Fallon,20 March 1982 (aged 28),7,Plymouth Argyle
15,MF,Michael McGlinchey,7 January 1987 (aged 23),5,Motherwell
16,MF,Aaron Clapham,1 January 1987 (aged 23),0,Canterbury United
17,MF,David Mulligan,24 March 1982 (aged 28),25,Unattached
18,DF,Andrew Boyens,18 September 1983 (aged 26),15,New York Red Bulls
19,DF,Tommy Smith,31 March 1990 (aged 20),4,Ipswich Town
20,FW,Chris Wood,7 December 1991 (aged 18),9,West Bromwich Albion
21,MF,Jeremy Christie,22 May 1983 (aged 27),22,Tampa Bay
22,MF,Jeremy Brockie,7 October 1987 (aged 22),18,Newcastle Jets
23,GK,James Bannatyne,30 June 1975 (aged 34),3,Team Wellington
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Justo Villar,30 June 1977 (aged 32),71,Real Valladolid
2,DF,Dario Veron,26 June 1979 (aged 30),27,UNAM
3,DF,Claudio Morel,2 February 1978 (aged 32),25,Boca Juniors
4,DF,Denis Caniza,29 August 1974 (aged 35),95,Leon
5,DF,Julio Cesar Caceres,5 October 1979 (aged 30),59,Atletico Mineiro
6,DF,Carlos Bonet,2 October 1977 (aged 32),60,Olimpia
7,FW,Oscar Cardozo,20 May 1983 (aged 27),29,Benfica
8,MF,Edgar Barreto,15 July 1984 (aged 25),47,Atalanta
9,FW,Roque Santa Cruz,16 August 1981 (aged 28),66,Manchester City
10,FW,Edgar Benitez,8 November 1987 (aged 22),12,Pachuca
11,MF,Jonathan Santana,19 October 1981 (aged 28),21,VfL Wolfsburg
12,GK,Diego Barreto,16 July 1981 (aged 28),2,Cerro Porteno
13,MF,Enrique Vera,10 March 1979 (aged 31),25,LDU Quito
14,DF,Paulo da Silva,1 February 1980 (aged 30),67,Sunderland
15,MF,Victor Caceres,25 March 1985 (aged 25),25,Libertad
16,MF,Cristian Riveros,16 October 1982 (aged 27),45,Cruz Azul
17,DF,Aureliano Torres,16 June 1982 (aged 27),25,San Lorenzo
18,FW,Nelson Valdez,28 November 1983 (aged 26),38,Borussia Dortmund
19,FW,Lucas Barrios,13 November 1984 (aged 25),3,Borussia Dortmund
20,MF,Nestor Ortigoza,7 October 1984 (aged 25),3,Argentinos Juniors
21,DF,Antolin Alcaraz,30 July 1982 (aged 27),5,Club Brugge
22,GK,Aldo Bobadilla,20 April 1976 (aged 34),18,Independiente Medellin
23,FW,Rodolfo Gamarra,10 December 1988 (aged 21),2,Libertad
Slovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jan Mucha,5 December 1982 (aged 27),15,Legia Warszawa
2,DF,Peter Pekarik,30 October 1986 (aged 23),21,VfL Wolfsburg
3,DF,Martin Škrtel,15 December 1984 (aged 25),39,Liverpool
4,DF,Marek Čech,26 January 1983 (aged 27),40,West Bromwich Albion
5,DF,Radoslav Zabavnik,16 September 1980 (aged 29),44,Mainz 05
6,MF,Zdeno Štrba,9 June 1976 (aged 34),21,Skoda Xanthi
7,MF,Vladimir Weiss,30 November 1989 (aged 20),9,Bolton Wanderers
8,MF,Jan Kozak,22 April 1980 (aged 30),24,Timișoara
9,MF,Stanislav Šestak,16 December 1982 (aged 27),33,VfL Bochum
10,MF,Marek Sapara,31 July 1982 (aged 27),25,Ankaragücü
11,FW,Robert Vittek,1 April 1982 (aged 28),70,Ankaragücü
12,GK,Dušan Perniš,28 November 1984 (aged 25),3,Dundee United
13,FW,Filip Hološko,17 January 1984 (aged 26),38,Beşiktaş
14,FW,Martin Jakubko,26 February 1980 (aged 30),24,Saturn Moscow Oblast
15,MF,Miroslav Stoch,19 October 1989 (aged 20),12,Twente
16,DF,Jan Ďurica,10 December 1981 (aged 28),39,Hannover 96
17,MF,Marek Hamšik,27 July 1987 (aged 22),32,Napoli
18,FW,Erik Jendrišek,26 October 1986 (aged 23),15,1. FC Kaiserslautern
19,MF,Juraj Kucka,26 February 1987 (aged 23),6,Sparta Prague
20,MF,Kamil Kopúnek,18 May 1984 (aged 26),9,Spartak Trnava
21,DF,Kornel Salata,4 January 1985 (aged 25),4,Slovan Bratislava
22,DF,Martin Petraš,2 November 1979 (aged 30),38,Cesena
23,GK,Dušan Kuciak,21 May 1985 (aged 25),3,Vaslui
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Júlio Cesar,3 September 1979 (aged 30),48,Internazionale
2,DF,Maicon,26 July 1981 (aged 28),58,Internazionale
3,DF,Lúcio,8 May 1978 (aged 32),91,Internazionale
4,DF,Juan,1 February 1979 (aged 31),74,Roma
5,MF,Felipe Melo,26 August 1983 (aged 26),18,Juventus
6,DF,Michel Bastos,2 August 1983 (aged 26),5,Lyon
7,MF,Elano,14 June 1981 (aged 28),43,Galatasaray
8,MF,Gilberto Silva,7 October 1976 (aged 33),88,Panathinaikos
9,FW,Luis Fabiano,8 November 1980 (aged 29),38,Sevilla
10,MF,Kaka,22 April 1982 (aged 28),78,Real Madrid
11,FW,Robinho,25 January 1984 (aged 26),75,Santos
12,GK,Heurelho Gomes,15 February 1981 (aged 29),11,Tottenham Hotspur
13,DF,Dani Alves,6 May 1983 (aged 27),35,Barcelona
14,DF,Luisão,13 February 1981 (aged 29),42,Benfica
15,DF,Thiago Silva,22 September 1984 (aged 25),7,Milan
16,DF,Gilberto,25 April 1976 (aged 34),33,Cruzeiro
17,MF,Josue,19 July 1979 (aged 30),27,VfL Wolfsburg
18,MF,Ramires,24 March 1987 (aged 23),12,Benfica
19,MF,Júlio Baptista,1 October 1981 (aged 28),46,Roma
20,MF,Kleberson,19 June 1979 (aged 30),31,Flamengo
21,FW,Nilmar,14 July 1984 (aged 25),17,Villarreal
22,GK,Doni,22 October 1979 (aged 30),10,Roma
23,FW,Grafite,2 April 1979 (aged 31),3,VfL Wolfsburg
Ivory Coast
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Boubacar Barry,30 December 1979 (aged 30),45,Lokeren
2,DF,Benjamin Angoua,28 November 1986 (aged 23),7,Valenciennes
3,DF,Arthur Boka,2 April 1983 (aged 27),54,VfB Stuttgart
4,DF,Kolo Toure,19 March 1981 (aged 29),76,Manchester City
5,MF,Didier Zokora,14 December 1980 (aged 29),80,Sevilla
6,DF,Steve Gohouri,8 February 1981 (aged 29),11,Wigan Athletic
7,FW,Seydou Doumbia,31 December 1987 (aged 22),5,Young Boys
8,FW,Salomon Kalou,5 August 1985 (aged 24),28,Chelsea
9,MF,Cheick Tiote,21 June 1986 (aged 23),8,Twente
10,FW,Gervinho,27 May 1987 (aged 23),15,Lille
11,FW,Didier Drogba,11 March 1978 (aged 32),68,Chelsea
12,MF,Jean-Jacques Gosso,15 March 1983 (aged 27),6,Monaco
13,MF,Romaric,4 June 1983 (aged 27),38,Sevilla
14,MF,Emmanuel Kone,31 December 1986 (aged 23),12,Internațional
15,FW,Aruna Dindane,26 November 1980 (aged 29),54,Portsmouth
16,GK,Aristide Zogbo,30 December 1981 (aged 28),6,Maccabi Netanya
17,DF,Siaka Tiene,22 March 1982 (aged 28),55,Valenciennes
18,MF,Kader Keïta,6 August 1981 (aged 28),55,Galatasaray
19,MF,Yaya Toure,13 May 1983 (aged 27),47,Barcelona
20,DF,Guy Demel,13 June 1981 (aged 28),26,Hamburger SV
21,DF,Emmanuel Eboue,4 June 1983 (aged 27),52,Arsenal
22,DF,Sol Bamba,13 January 1985 (aged 25),16,Hibernian
23,GK,Daniel Yeboah,13 November 1984 (aged 25),4,ASEC Mimosas
North Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ri Myong-guk,9 September 1986 (aged 23),28,Pyongyang City
2,DF,Cha Jong-hyok,25 September 1985 (aged 24),31,Amrokgang
3,DF,Ri Jun-il,24 August 1987 (aged 22),26,Sobaeksu
4,MF,Pak Nam-chol,2 July 1985 (aged 24),35,25-Apr
5,DF,Ri Kwang-chon,4 September 1985 (aged 24),41,25-Apr
6,MF,Kim Kum-il,10 October 1987 (aged 22),11,25-Apr
7,FW,An Chol-hyok,27 June 1985 (aged 24),16,Rimyongsu
8,DF,Ji Yun-nam,20 November 1976 (aged 33),23,25-Apr
9,FW,Jong Tae-se,2 March 1984 (aged 26),20,Kawasaki Frontale
10,FW,Hong Yong-jo,22 May 1982 (aged 28),40,Rostov
11,MF,Mun In-guk,29 September 1978 (aged 31),42,25-Apr
12,FW,Choe Kum-chol,9 February 1987 (aged 23),16,25-Apr
13,DF,Pak Chol-jin,5 September 1985 (aged 24),34,Amrokgang
14,DF,Pak Nam-Chol,3 October 1988 (aged 21),12,Amrokgang
15,MF,Kim Yong-jun,19 July 1983 (aged 26),52,Pyongyang City
16,DF,Nam Song-chol,7 May 1982 (aged 28),41,25-Apr
17,MF,An Yong-hak,25 October 1978 (aged 31),24,Omiya Ardija
18,GK,Kim Myong-gil,16 October 1984 (aged 25),10,Amrokgang
19,MF,Ri Chol-myong,18 February 1988 (aged 22),10,Pyongyang City
20,GK,Kim Myong-won[8],15 July 1983 (aged 26),9,Amrokgang
21,DF,Ri Kwang-hyok,17 August 1987 (aged 22),15,Kyonggongop
22,MF,Kim Kyong-il,11 December 1988 (aged 21),7,Rimyongsu
23,MF,Pak Sung-hyok,30 May 1990 (aged 20),3,Sobaeksu
Portugal
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Eduardo,19 September 1982 (aged 27),15,Braga
2,DF,Bruno Alves,27 November 1981 (aged 28),31,Porto
3,DF,Paulo Ferreira,18 January 1979 (aged 31),61,Chelsea
4,DF,Rolando,31 August 1985 (aged 24),8,Porto
5,MF,Duda,27 June 1980 (aged 29),16,Malaga
6,DF,Ricardo Carvalho,18 May 1978 (aged 32),63,Chelsea
7,FW,Cristiano Ronaldo,5 February 1985 (aged 25),72,Real Madrid
8,MF,Pedro Mendes,26 February 1979 (aged 31),8,Sporting CP
9,FW,Liedson,17 December 1977 (aged 32),10,Sporting CP
10,MF,Danny,7 August 1983 (aged 26),11,Zenit Saint Petersburg
11,MF,Simão,31 October 1979 (aged 30),81,Atletico Madrid
12,GK,Beto,1 May 1982 (aged 28),1,Porto
13,DF,Miguel,4 January 1980 (aged 30),57,Valencia
14,MF,Miguel Veloso,11 May 1986 (aged 24),12,Sporting CP
15,DF,Pepe,26 February 1983 (aged 27),25,Real Madrid
16,MF,Raul Meireles,17 March 1983 (aged 27),34,Porto
17,MF,Rúben Amorim[9],27 January 1985 (aged 25),0,Benfica
18,FW,Hugo Almeida,23 May 1984 (aged 26),26,Werder Bremen
19,MF,Tiago,2 May 1981 (aged 29),51,Atletico Madrid
20,MF,Deco,27 August 1977 (aged 32),74,Chelsea
21,DF,Ricardo Costa,16 May 1981 (aged 29),8,Lille
22,GK,Daniel Fernandes,25 September 1983 (aged 26),2,Iraklis
23,DF,Fabio Coentrão,11 March 1988 (aged 22),4,Benfica
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Claudio Bravo,13 April 1983 (aged 27),41,Real Sociedad
2,DF,Ismael Fuentes,4 August 1981 (aged 28),25,Universidad Catolica
3,DF,Waldo Ponce,4 December 1982 (aged 27),23,Universidad Catolica
4,MF,Mauricio Isla,12 June 1988 (aged 21),10,Udinese
5,DF,Pablo Contreras,11 September 1978 (aged 31),49,PAOK
6,MF,Carlos Carmona,21 February 1987 (aged 23),18,Reggina
7,FW,Alexis Sanchez,19 December 1988 (aged 21),26,Udinese
8,DF,Arturo Vidal,22 May 1987 (aged 23),21,Bayer Leverkusen
9,FW,Humberto Suazo,10 May 1981 (aged 29),41,Real Zaragoza
10,MF,Jorge Valdivia,19 October 1983 (aged 26),36,Al-Ain
11,FW,Mark Gonzalez,10 July 1984 (aged 25),38,CSKA Moscow
12,GK,Miguel Pinto,4 July 1983 (aged 26),13,Universidad de Chile
13,MF,Marco Estrada,28 May 1983 (aged 27),20,Universidad de Chile
14,MF,Matias Fernandez,15 May 1986 (aged 24),35,Sporting CP
15,FW,Jean Beausejour,1 June 1984 (aged 26),23,America
16,FW,Fabian Orellana,27 January 1986 (aged 24),13,Xerez
17,DF,Gary Medel,3 August 1987 (aged 22),23,Boca Juniors
18,DF,Gonzalo Jara,29 August 1985 (aged 24),31,West Bromwich Albion
19,MF,Gonzalo Fierro,21 March 1983 (aged 27),16,Flamengo
20,MF,Rodrigo Millar,3 November 1981 (aged 28),19,Colo-Colo
21,MF,Rodrigo Tello,14 October 1979 (aged 30),32,Beşiktaş
22,FW,Esteban Paredes,1 August 1980 (aged 29),12,Colo-Colo
23,GK,Luis Marin,18 May 1983 (aged 27),2,Union Espanola
Honduras
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ricardo Canales,30 May 1982 (aged 28),2,Motagua
2,DF,Osman Chavez,29 July 1984 (aged 25),26,Platense
3,DF,Maynor Figueroa,2 May 1983 (aged 27),66,Wigan Athletic
4,DF,Johnny Palacios,20 December 1986 (aged 23),4,Olimpia
5,DF,Victor Bernardez,24 May 1982 (aged 28),40,Anderlecht
6,MF,Hendry Thomas,23 February 1985 (aged 25),39,Wigan Athletic
7,MF,Ramon Núnez,14 November 1984 (aged 25),16,Olimpia
8,MF,Wilson Palacios,29 July 1984 (aged 25),69,Tottenham Hotspur
9,FW,Carlos Pavon,19 October 1973 (aged 36),98,Real Espana
10,FW,Jerry Palacios[10],1 November 1982 (aged 27),11,Hangzhou Greentown
11,FW,David Suazo,5 November 1979 (aged 30),50,Genoa
12,FW,Georgie Welcome,9 March 1985 (aged 25),11,Motagua
13,FW,Roger Espinoza,25 October 1986 (aged 23),10,Kansas City Wizards
14,DF,Boniek Garcia,4 September 1984 (aged 25),42,Olimpia
15,FW,Walter Martinez,29 March 1982 (aged 28),34,Marathon
16,DF,Mauricio Sabillon,11 November 1978 (aged 31),25,Hangzhou Greentown
17,MF,Edgar Alvarez,9 January 1980 (aged 30),46,Bari
18,GK,Noel Valladares,3 May 1977 (aged 33),71,Olimpia
19,MF,Danilo Turcios,8 May 1978 (aged 32),82,Olimpia
20,MF,Amado Guevara,2 May 1976 (aged 34),133,Motagua
21,DF,Emilio Izaguirre,10 May 1986 (aged 24),39,Motagua
22,GK,Donis Escober,3 February 1980 (aged 30),11,Olimpia
23,DF,Sergio Mendoza,23 May 1981 (aged 29),46,Motagua
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Iker Casillas,20 May 1981 (aged 29),104,Real Madrid
2,DF,Raúl Albiol,4 September 1985 (aged 24),23,Real Madrid
3,DF,Gerard Pique,2 February 1987 (aged 23),16,Barcelona
4,DF,Carlos Marchena,31 July 1979 (aged 30),59,Valencia
5,DF,Carles Puyol,13 April 1978 (aged 32),83,Barcelona
6,MF,Andres Iniesta,11 May 1984 (aged 26),43,Barcelona
7,FW,David Villa,3 December 1981 (aged 28),58,Valencia
8,MF,Xavi,25 January 1980 (aged 30),87,Barcelona
9,FW,Fernando Torres,20 March 1984 (aged 26),73,Liverpool
10,MF,Cesc Fàbregas,4 May 1987 (aged 23),49,Arsenal
11,DF,Joan Capdevila,3 February 1978 (aged 32),46,Villarreal
12,GK,Victor Valdes,14 January 1982 (aged 28),1,Barcelona
13,MF,Juan Mata,28 April 1988 (aged 22),8,Valencia
14,MF,Xabi Alonso,25 November 1981 (aged 28),69,Real Madrid
15,DF,Sergio Ramos,30 March 1986 (aged 24),60,Real Madrid
16,MF,Sergio Busquets,16 July 1988 (aged 21),13,Barcelona
17,DF,Alvaro Arbeloa,17 January 1983 (aged 27),15,Real Madrid
18,FW,Pedro,28 July 1987 (aged 22),3,Barcelona
19,FW,Fernando Llorente,26 February 1985 (aged 25),7,Athletic Bilbao
20,MF,Javi Martinez,2 September 1988 (aged 21),2,Athletic Bilbao
21,MF,David Silva,8 January 1986 (aged 24),36,Valencia
22,MF,Jesús Navas,21 November 1985 (aged 24),6,Sevilla
23,GK,Pepe Reina,31 August 1982 (aged 27),20,Liverpool
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Diego Benaglio,8 September 1983 (aged 26),27,VfL Wolfsburg
2,DF,Stephan Lichtsteiner,16 January 1984 (aged 26),28,Lazio
3,DF,Ludovic Magnin,20 April 1979 (aged 31),62,Zürich
4,DF,Philippe Senderos,14 February 1985 (aged 25),40,Everton
5,DF,Steve von Bergen,10 June 1983 (aged 27),11,Hertha BSC
6,MF,Benjamin Huggel,7 July 1977 (aged 32),38,Basel
7,MF,Tranquillo Barnetta,22 May 1985 (aged 25),52,Bayer Leverkusen
8,MF,Gökhan Inler,27 June 1984 (aged 25),36,Udinese
9,FW,Alexander Frei,15 July 1979 (aged 30),75,Basel
10,FW,Blaise Nkufo,25 May 1975 (aged 35),31,Twente
11,MF,Valon Behrami,19 April 1985 (aged 25),27,West Ham United
12,GK,Marco Wölfli,22 August 1982 (aged 27),5,Young Boys
13,DF,Stephane Grichting,30 March 1979 (aged 31),35,Auxerre
14,MF,Marco Padalino,8 December 1983 (aged 26),8,Sampdoria
15,MF,Hakan Yakin,22 February 1977 (aged 33),81,Luzern
16,MF,Gelson Fernandes,2 September 1986 (aged 23),24,Saint-Etienne
17,DF,Reto Ziegler,16 January 1986 (aged 24),12,Sampdoria
18,FW,Albert Bunjaku,29 November 1983 (aged 26),3,1. FC Nürnberg
19,FW,Eren Derdiyok,12 June 1988 (aged 21),21,Bayer Leverkusen
20,MF,Pirmin Schwegler,9 March 1987 (aged 23),4,Eintracht Frankfurt
21,GK,Johnny Leoni,30 June 1984 (aged 25),0,Zürich
22,DF,Mario Eggimann,24 January 1981 (aged 29),8,Hannover 96
23,MF,Xherdan Shaqiri,10 October 1991 (aged 18),3,Basel
